Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
99,2766374339,herdnation1,0,102.7,P Lance McCullers Jr. P Dylan Cease 1B Vladimir Guerrero Jr. SS Bo Bichette OF Teoscar Hernández 3B Cavan Biggio 2B Kiké Hernández OF Hunter Renfroe C Danny Jansen OF Danny Santana,,Bobby Dalbec,1B,1.42%,7
101,2766411749,routlaw,0,102.4,P Lance McCullers Jr. P Adam Wainwright OF Juan Soto 2B Jose Altuve C J.T. Realmuto SS Didi Gregorius OF Andrew McCutchen OF Hunter Renfroe 3B Josh Harrison 1B Danny Santana,,Patrick Wisdom,3B,1.42%,2
101,2766541646,salvador_ledezma,0,102.4,P Lance McCullers Jr. P Adam Wainwright 1B Rhys Hoskins OF Bryce Harper 3B DJ LeMahieu OF Kyle Tucker 2B Jean Segura SS Harold Castro OF Brad Miller C Tres Barrera,,Wilmer Flores,3B,1.42%,16
103,2766428158,gsquiggle,0,102.35,P Lance McCullers Jr. P Erick Fedde OF Bryce Harper SS Tim Anderson 1B José Abreu C Gary Sánchez 2B Rougned Odor OF Adam Engel OF Andrew Vaughn 3B Jake Burger,,Brett Gardner,OF,1.42%,7
104,2766323065,Jdietz15,0,102.3,P Robbie Ray P Logan Webb 1B Vladimir Guerrero Jr. 2B Jonathan Schoop OF Teoscar Hernández OF Robbie Grossman 3B Cavan Biggio OF Akil Baddoo C Danny Jansen SS Harold Castro,,Nolan Arenado,3B,1.42%,5
105,2765851100,LushyLeanPocket,0,102.2,P Lance McCullers Jr. P Julio Urías 3B Rafael Devers SS Xander Bogaerts OF J.D. Martinez 2B Kiké Hernández C John Hicks OF Michael Brantley 1B Miguel Cabrera OF Danny Santana,,Miguel Rojas,SS,1.24%,2
105,2766417819,dollarbl,0,102.2,P Robbie Ray P Adam Wainwright SS Tim Anderson 1B José Abreu 3B Yoán Moncada C John Hicks 2B Jean Segura OF Adam Engel OF Andrew McCutchen OF Andrew Vaughn,,Chris Taylor,SS,1.24%,22
105,2766578460,bigken60,0,102.2,P Lance McCullers Jr. P Julio Urías OF Bryce Harper C J.T. Realmuto 3B DJ LeMahieu SS Didi Gregorius 2B Jean Segura OF Hunter Renfroe OF Brad Miller 1B Bobby Dalbec,,Joe Panik,2B,1.06%,3
108,2765576495,giantsquid,0,101.9,P Julio Urías P Jordan Lyles 3B Rafael Devers C J.T. Realmuto SS Xander Bogaerts OF Adam Duvall OF Starling Marte 2B Kiké Hernández OF Hunter Renfroe 1B Danny Santana,,Sandy León,C,1.06%,3
109,2766313772,kayjay_003,0,101.75,P Lance McCullers Jr. P Matt Manning 1B Vladimir Guerrero Jr. OF Bryce Harper C J.T. Realmuto OF Giancarlo Stanton SS Carlos Correa 3B DJ LeMahieu 2B Jean Segura OF Myles Straw,,Michael Pineda,P,1.06%,16.25
110,2765745882,sotnohc,0,101.4,P Lance McCullers Jr. P Adam Wainwright SS Trea Turner OF Juan Soto C J.T. Realmuto 2B Jean Segura OF Akil Baddoo OF Andrew McCutchen 3B Josh Harrison 1B Matt Beaty,,Paul Goldschmidt,1B,1.06%,7
110,2766064258,ocdobv,0,101.4,P Lance McCullers Jr. P Adam Wainwright OF Yordan Alvarez 3B DJ LeMahieu 1B Darin Ruf 2B Rougned Odor SS Gleyber Torres C Zack Collins OF Greg Allen OF Estevan Florial,,Franmil Reyes,OF,1.06%,5
110,2766572689,tbarlog,0,101.4,P Lance McCullers Jr. P Adam Wainwright 1B José Abreu SS Xander Bogaerts OF J.D. Martinez OF Kyle Tucker 2B Kiké Hernández 3B Abraham Toro C Martín Maldonado OF Danny Santana,,Zack Short,SS,0.89%,16
110,2766588496,cedarpip,0,101.4,P Lance McCullers Jr. P Jordan Lyles 1B Rhys Hoskins OF Bryce Harper C J.T. Realmuto SS Xander Bogaerts OF Kiké Hernández 2B Jean Segura OF Andrew McCutchen 3B Josh Harrison,,Zach McKinstry,2B,0.89%,0
114,2766474256,Arlowe84,0,101.2,P Lance McCullers Jr. P Julio Urías SS Trea Turner OF Bryce Harper 3B Yoán Moncada 2B Jean Segura OF Akil Baddoo C Zack Collins 1B Miguel Cabrera OF Andrew Vaughn,,Jon Berti,OF,0.89%,4
114,2766570597,arnok7p0,0,101.2,P Robbie Ray P Jordan Lyles 1B Vladimir Guerrero Jr. SS Trea Turner 2B Marcus Semien OF George Springer OF Teoscar Hernández 3B Josh Harrison C Tres Barrera OF Andrew Stevenson,,Rafael Ortega,OF,0.89%,18
116,2766471961,tyoiler,0,101.05,P Adam Wainwright P Erick Fedde 1B Vladimir Guerrero Jr. 2B Marcus Semien SS Bo Bichette OF George Springer OF Teoscar Hernández 3B Josh Harrison C Tres Barrera OF Gerardo Parra,,Mike Yastrzemski,OF,0.89%,14
117,2766567294,RipeAvocado,0,100.8,P Julio Urías P Kyle Hendricks C J.T. Realmuto OF Giancarlo Stanton 2B DJ LeMahieu 3B Yoán Moncada 1B Yuli Gurriel SS Gleyber Torres OF Greg Allen OF Estevan Florial,,Derek Hill,OF,0.89%,0
118,2765926252,Chomez21,0,100.5,P Lance McCullers Jr. P Robbie Ray OF Juan Soto SS Tim Anderson 2B Jose Altuve OF Kyle Tucker OF Michael Brantley 3B Josh Harrison C Tres Barrera 1B Matt Beaty,,Darin Ruf,1B,0.71%,7
119,2765776526,TeamRucka,0,100.4,P Lance McCullers Jr. P Adam Wainwright OF Bryce Harper C J.T. Realmuto OF Cody Bellinger SS Didi Gregorius OF Kiké Hernández 2B Jean Segura 3B Josh Harrison 1B Danny Santana,,Nick Solak,2B,0.71%,0
119,2765874992,T_revor,0,100.4,P Lance McCullers Jr. P Adam Wainwright SS Trea Turner OF Bryce Harper C J.T. Realmuto 2B Jean Segura OF Akil Baddoo OF Andrew McCutchen 3B Josh Harrison 1B Danny Santana,,LaMonte Wade Jr.,1B,0.71%,0
119,2765925379,rex21023,0,100.4,P Lance McCullers Jr. P Adam Wainwright SS Trea Turner OF Bryce Harper C J.T. Realmuto 2B Jean Segura OF Akil Baddoo OF Andrew McCutchen 3B Josh Harrison 1B Danny Santana,,Tommy Edman,OF,0.71%,6
119,2765928764,womp13,0,100.4,P Lance McCullers Jr. P Adam Wainwright SS Trea Turner OF Bryce Harper C J.T. Realmuto 2B Jean Segura OF Akil Baddoo OF Andrew McCutchen 3B Josh Harrison 1B Danny Santana,,Albert Pujols,1B,0.71%,0
119,2765928777,tdavis24,0,100.4,P Lance McCullers Jr. P Adam Wainwright SS Trea Turner OF Bryce Harper C J.T. Realmuto 2B Jean Segura OF Akil Baddoo OF Andrew McCutchen 3B Josh Harrison 1B Danny Santana,,Miguel Sanó,1B,0.53%,3
119,2765996136,stambizzle,0,100.4,P Lance McCullers Jr. P Adam Wainwright SS Trea Turner OF Bryce Harper C J.T. Realmuto 2B Jean Segura OF Akil Baddoo OF Andrew McCutchen 3B Josh Harrison 1B Danny Santana,,Donovan Solano,2B,0.53%,5
119,2766101764,medicine,0,100.4,P Lance McCullers Jr. P Adam Wainwright SS Trea Turner OF Bryce Harper C J.T. Realmuto 2B Jean Segura OF Akil Baddoo OF Andrew McCutchen 3B Josh Harrison 1B Danny Santana,,Max Muncy,2B,0.53%,2
119,2766229691,smittywrldwd,0,100.4,P Lance McCullers Jr. P Adam Wainwright SS Trea Turner OF Bryce Harper C J.T. Realmuto 2B Jean Segura OF Akil Baddoo OF Andrew McCutchen 3B Josh Harrison 1B Danny Santana,,AJ Pollock,OF,0.53%,7
119,2766382556,PresidentLeach,0,100.4,P Lance McCullers Jr. P Adam Wainwright OF Bryce Harper 3B Josh Donaldson SS Xander Bogaerts 2B Kiké Hernández OF Andrew McCutchen OF Hunter Renfroe C Christian Vázquez 1B Danny Santana,,Nick Neidert,P,0.53%,9.05
119,2766468417,Rayrae777,0,100.4,P Lance McCullers Jr. P Adam Wainwright SS Trea Turner OF Bryce Harper C J.T. Realmuto 2B Jean Segura OF Akil Baddoo OF Andrew McCutchen 3B Josh Harrison 1B Danny Santana,,Jesús Aguilar,1B,0.53%,2
119,2766473372,kezsmith81,0,100.4,P Lance McCullers Jr. P Adam Wainwright SS Trea Turner OF Bryce Harper C J.T. Realmuto 2B Jean Segura OF Akil Baddoo OF Andrew McCutchen 3B Josh Harrison 1B Danny Santana,,Amed Rosario,SS,0.53%,0
119,2766580227,kmelfe,0,100.4,P Lance McCullers Jr. P Adam Wainwright SS Trea Turner OF Bryce Harper C J.T. Realmuto 2B Jean Segura OF Akil Baddoo OF Andrew McCutchen 3B Josh Harrison 1B Danny Santana,,Harrison Bader,OF,0.35%,15
119,2766592778,cp1180,0,100.4,P Lance McCullers Jr. P Adam Wainwright SS Trea Turner OF Bryce Harper C J.T. Realmuto 2B Jean Segura OF Akil Baddoo OF Andrew McCutchen 3B Josh Harrison 1B Danny Santana,,Javier Báez,SS,0.35%,5
119,2766597617,0_for_5,0,100.4,P Lance McCullers Jr. P Adam Wainwright SS Trea Turner OF Bryce Harper C J.T. Realmuto 2B Jean Segura OF Akil Baddoo OF Andrew McCutchen 3B Josh Harrison 1B Danny Santana,,Nico Hoerner,2B,0.35%,9
119,2766606455,Tebert1,0,100.4,P Lance McCullers Jr. P Adam Wainwright SS Trea Turner OF Bryce Harper C J.T. Realmuto 2B Jean Segura OF Akil Baddoo OF Andrew McCutchen 3B Josh Harrison 1B Danny Santana,,Austin Slater,OF,0.35%,0
134,2766620335,grace32810,0,100.2,P Lance McCullers Jr. P Julio Urías 1B Vladimir Guerrero Jr. SS Xander Bogaerts OF Adam Duvall OF Kiké Hernández OF Michael Brantley C Christian Vázquez 3B Brock Holt 2B Michael Chavis,,Jorge Polanco,2B,0.35%,37
135,2766000595,RYANEOZ,0,99.75,P Lance McCullers Jr. P Matt Manning 1B Vladimir Guerrero Jr. OF Yordan Alvarez 2B Jose Altuve SS Bo Bichette OF George Springer 3B Cavan Biggio OF Michael Brantley C Martín Maldonado,,Gavin Sheets,OF,0.35%,0
135,2766501232,ctk1227,0,99.75,P Lance McCullers Jr. P Matt Manning 1B Vladimir Guerrero Jr. 2B Marcus Semien OF Juan Soto SS Bo Bichette OF George Springer OF Teoscar Hernández 3B Jake Burger C Tres Barrera,,Bobby Bradley,1B,0.35%,4
137,2766126847,Jgo99,0,99.7,P Lance McCullers Jr. P Dylan Cease 1B Vladimir Guerrero Jr. OF Bryce Harper C J.T. Realmuto SS Gleyber Torres 2B Jean Segura OF Andrew McCutchen OF Brad Miller 3B Jake Burger,,Cesar Hernandez,2B,0.35%,23
137,2766320765,EmpireMaker2,0,99.7,P Lance McCullers Jr. P Dylan Cease 1B Vladimir Guerrero Jr. SS Trea Turner C J.T. Realmuto 2B Jean Segura OF Akil Baddoo OF Andrew McCutchen 3B Josh Harrison OF Danny Santana,,Eli Morgan,P,0.35%,13.45
139,2766446581,aozzy29,0,99.55,P Robbie Ray P Matt Manning OF Juan Soto OF Bryce Harper 2B Jose Altuve 1B José Abreu 3B Josh Donaldson SS Didi Gregorius OF Andrew McCutchen C Martín Maldonado,,Tyler Wade,OF,0.35%,7
140,2765935703,Golfer671,0,99.5,P Lance McCullers Jr. P Robbie Ray SS Tim Anderson 1B José Abreu 3B Yoán Moncada OF Kyle Tucker 2B Jean Segura OF Adam Engel OF Andrew Vaughn C Tres Barrera,,Buster Posey,C,0.18%,3
140,2766292955,TheCompletePackage,0,99.5,P Lance McCullers Jr. P Robbie Ray OF Yordan Alvarez 2B Jose Altuve 1B Yuli Gurriel OF Kyle Tucker OF Akil Baddoo SS Harold Castro C Martín Maldonado 3B Josh Harrison,,Thairo Estrada,3B,0.18%,5
142,2766128790,Ccoffman1517,0,99.4,P Lance McCullers Jr. P Adam Wainwright SS Trea Turner OF Juan Soto C J.T. Realmuto 2B Jean Segura OF Andrew McCutchen OF Hunter Renfroe 3B Josh Harrison 1B Danny Santana,,Jordan Holloway,P,0.18%,0
142,2766361457,mylcoc,0,99.4,P Lance McCullers Jr. P Adam Wainwright 3B Rafael Devers SS Xander Bogaerts OF Kiké Hernández 2B Jean Segura 1B LaMonte Wade Jr. OF Andrew McCutchen C Curt Casali OF Danny Santana,,Paul DeJong,SS,0.18%,5
142,2766441395,rydagreat,0,99.4,P Lance McCullers Jr. P Adam Wainwright SS Trea Turner OF Juan Soto 1B Jonathan Schoop 3B Cavan Biggio 2B Jean Segura OF Akil Baddoo C Tres Barrera OF Estevan Florial,,Garrett Richards,P,0.18%,15.75
142,2766479649,regulardave,0,99.4,P Lance McCullers Jr. P Adam Wainwright 3B Rafael Devers OF Bryce Harper SS Xander Bogaerts OF Kiké Hernández OF Andrew McCutchen C Christian Vázquez 2B Brad Miller 1B Danny Santana,,Willson Contreras,C,0.18%,11
142,2766518045,frasig,0,99.4,P Lance McCullers Jr. P Adam Wainwright OF Bryce Harper C J.T. Realmuto 1B Josh Bell SS Didi Gregorius 2B Kiké Hernández OF Akil Baddoo OF Andrew McCutchen 3B Isan Díaz,,Luke Williams,2B,0.18%,7
147,2766128000,Ramadom,0,99.2,P Lance McCullers Jr. P Julio Urías 1B Vladimir Guerrero Jr. 2B Jose Altuve OF Kyle Tucker SS Didi Gregorius 3B Cavan Biggio OF Michael Brantley OF Travis Jankowski C Tres Barrera,,Jason Heyward,OF,0.18%,10
147,2766473322,townythetiger,0,99.2,P Lance McCullers Jr. P Julio Urías 1B Rhys Hoskins OF Giancarlo Stanton 2B DJ LeMahieu 3B Patrick Wisdom C John Hicks SS Gleyber Torres OF Greg Allen OF Andrew Stevenson,,José Ramírez,3B,0.18%,0
147,2766519889,jscgolf,0,99.2,P Lance McCullers Jr. P Julio Urías OF Bryce Harper OF Giancarlo Stanton 3B DJ LeMahieu C Gary Sánchez SS Didi Gregorius 2B Jean Segura 1B Matt Beaty OF Estevan Florial,,Trevor Larnach,OF,0.18%,3
150,2766390458,doughman124,0,98.9,P Julio Urías P Jordan Lyles 1B Vladimir Guerrero Jr. 2B Marcus Semien SS Bo Bichette OF George Springer 3B Cavan Biggio OF Kiké Hernández C Christian Vázquez OF Danny Santana,,Ryan Jeffers,C,0.18%,3
150,2766550719,swalter21,0,98.9,P Julio Urías P Adam Wainwright SS Tim Anderson OF Joey Gallo OF Adam Duvall 1B Nate Lowe 2B Kiké Hernández C Sandy León 3B Brock Holt OF Danny Santana,,Bradley Zimmer,OF,0.18%,7
152,2765931713,BRAHMABULL1968,0,98.75,P Lance McCullers Jr. P Matt Manning 1B Vladimir Guerrero Jr. SS Trea Turner OF Juan Soto OF Randal Grichuk OF Teoscar Hernández 3B Cavan Biggio 2B Alcides Escobar C Danny Jansen,,Roberto Pérez,C,0.18%,2
153,2766261123,szeis03,0,98.7,P Lance McCullers Jr. P Dylan Cease OF Juan Soto SS Tim Anderson 1B José Abreu 3B Yoán Moncada 2B Jean Segura OF Akil Baddoo C Tres Barrera OF Matt Beaty,,Aaron Judge,OF,0.18%,0
154,2766302788,dumpingthestripe132,0,98.4,P Lance McCullers Jr. P Adam Wainwright OF Juan Soto SS Tim Anderson 3B Yoán Moncada 1B Josh Bell 2B Leury García OF Adam Engel C Tres Barrera OF Billy Hamilton,,Ernie Clement,3B,0.18%,14
155,2765940650,tony7185,0,98.35,P Dylan Cease P Erick Fedde SS Trea Turner OF Juan Soto OF Bryce Harper C J.T. Realmuto 2B Jean Segura OF Andrew McCutchen 3B Josh Harrison 1B Bobby Dalbec,,,
156,2766438634,estenberg,0,98,P Robbie Ray P Julio Urías OF Nelson Cruz SS Tim Anderson OF Franmil Reyes OF Max Kepler 2B Ian Happ C John Hicks 3B Josh Harrison 1B Danny Santana,,,
157,2766121937,Jarmaine22,0,97.9,P Julio Urías P Adam Wainwright SS Bo Bichette 1B José Abreu 3B Yoán Moncada OF Kyle Tucker 2B Jean Segura OF Michael Brantley OF Akil Baddoo C Tres Barrera,,,
157,2766379830,tayweid13,0,97.9,P Julio Urías P Adam Wainwright 1B Vladimir Guerrero Jr. 2B Marcus Semien SS Bo Bichette OF George Springer C Danny Jansen 3B Josh Harrison OF Gerardo Parra OF Andrew Stevenson,,,
159,2765794097,JShabazz87,0,97.7,P Lance McCullers Jr. P Dylan Cease 1B Vladimir Guerrero Jr. OF Juan Soto SS Bo Bichette OF Teoscar Hernández 2B Alcides Escobar 3B Josh Harrison OF Greg Allen C Tres Barrera,,,
159,2765864632,OrangeSwarm5,0,97.7,P Lance McCullers Jr. P Dylan Cease 1B Vladimir Guerrero Jr. SS Trea Turner 2B Jose Altuve OF Teoscar Hernández OF Michael Brantley 3B Isan Díaz C Tres Barrera OF Gerardo Parra,,,
161,2766395267,dean78904,0,97.5,P Lance McCullers Jr. P Robbie Ray 1B Vladimir Guerrero Jr. OF George Springer 2B Rougned Odor 3B Cavan Biggio SS Gleyber Torres OF Michael Brantley OF Andrew McCutchen C Tres Barrera,,,
161,2766529171,Deiner10,0,97.5,P Lance McCullers Jr. P Robbie Ray OF Joey Gallo OF Adolis García 1B Nate Lowe 3B Wilmer Flores C John Hicks SS Gleyber Torres 2B Jean Segura OF David Dahl,,,
163,2766410395,jonjonlegend,0,97.4,P Adam Wainwright P Dylan Cease 1B Vladimir Guerrero Jr. SS Bo Bichette 3B Yoán Moncada OF Teoscar Hernández 2B Leury García OF Akil Baddoo C Danny Jansen OF Derek Hill,,,
163,2766573896,marblesx,0,97.4,P Julio Urías SS Tim Anderson OF Yordan Alvarez 2B Jose Altuve 1B José Abreu C J.T. Realmuto 3B Yoán Moncada OF Michael Brantley OF Andrew Vaughn P Nick Neidert,,,
163,2766597864,Graycm22,0,97.4,P Lance McCullers Jr. P Adam Wainwright OF Juan Soto SS Tim Anderson OF Adam Duvall OF Kyle Tucker C John Hicks 2B Brad Miller 3B Ronald Torreyes 1B Danny Santana,,,
166,2766606558,Prglfr,0,97.3,P Kyle Hendricks P Dylan Cease SS Carlos Correa C Gary Sánchez OF Teoscar Hernández OF Adolis García 1B Nate Lowe 2B Rougned Odor OF Kiké Hernández 3B Jon Berti,,,
167,2766554330,Hotscott40,0,97.2,P Julio Urías P Dylan Cease OF Juan Soto C J.T. Realmuto OF Starling Marte 3B Yoán Moncada 2B Jean Segura OF Akil Baddoo SS Harold Castro 1B Miguel Cabrera,,,
167,2766602549,divide8by10,0,97.2,P Lance McCullers Jr. P Julio Urías OF Yordan Alvarez 2B Jose Altuve 1B Yuli Gurriel OF Kyle Tucker SS Gleyber Torres OF Michael Brantley 3B Isan Díaz C Tres Barrera,,,
167,2766604362,jeyster2,0,97.2,P Lance McCullers Jr. P Julio Urías 1B Vladimir Guerrero Jr. OF Yordan Alvarez SS Xander Bogaerts 2B Kiké Hernández OF Hunter Renfroe C Christian Vázquez 3B Jake Burger OF Danny Santana,,,
170,2765768421,totoroll33,0,96.7,P Lance McCullers Jr. P Dylan Cease SS Trea Turner OF Bryce Harper 2B Jose Altuve 1B Josh Bell OF Akil Baddoo OF Andrew McCutchen 3B Josh Harrison C Tres Barrera,,,
170,2766099050,gauvdawg326,0,96.7,P Lance McCullers Jr. P Dylan Cease OF Juan Soto OF Giancarlo Stanton C Gary Sánchez 1B Josh Bell 2B Kiké Hernández SS Gleyber Torres OF Andrew McCutchen 3B Josh Harrison,,,
170,2766433458,retierdDoc31,0,96.7,P Lance McCullers Jr. P Dylan Cease OF Juan Soto SS Tim Anderson OF Joey Gallo 1B Josh Bell 2B Kiké Hernández OF Adam Engel 3B Josh Harrison C Tres Barrera,,,
170,2766545756,genosucks1,0,96.7,P Lance McCullers Jr. P Dylan Cease OF Bryce Harper C J.T. Realmuto SS Xander Bogaerts OF J.D. Martinez 2B Kiké Hernández OF Hunter Renfroe 3B Jake Burger 1B Danny Santana,,,
174,2766127164,ccampbell29,0,96.5,P Lance McCullers Jr. P Robbie Ray 1B Vladimir Guerrero Jr. 2B Marcus Semien OF George Springer OF Teoscar Hernández SS Ronald Torreyes 3B Josh Harrison C Grayson Greiner OF Andrew Stevenson,,,
174,2766475791,alecplarod,0,96.5,P Lance McCullers Jr. P Robbie Ray OF Joey Gallo 3B Jeimer Candelario 1B Nate Lowe OF Robbie Grossman C John Hicks OF Akil Baddoo SS Zack Short 2B Harold Castro,,,
176,2766463958,dsimpson77,0,96.4,P Lance McCullers Jr. P Adam Wainwright SS Trea Turner OF Bryce Harper 2B Jose Altuve OF Adolis García OF Andrew McCutchen 1B Miguel Cabrera 3B Josh Harrison C Grayson Greiner,,,
176,2766520834,Skralph,0,96.4,P Lance McCullers Jr. P Adam Wainwright OF Bryce Harper C J.T. Realmuto 1B Josh Bell SS Didi Gregorius 2B Jean Segura OF Akil Baddoo OF Andrew McCutchen 3B Josh Harrison,,,
176,2766526509,curlingw,0,96.4,P Lance McCullers Jr. P Adam Wainwright OF Bryce Harper C J.T. Realmuto 3B Yoán Moncada SS Didi Gregorius 2B Jean Segura OF Andrew McCutchen OF Hunter Renfroe 1B Danny Santana,,,
179,2766610451,DCoochy,0,96.25,P Julio Urías P Matt Manning 1B Vladimir Guerrero Jr. OF Bryce Harper SS Bo Bichette C J.T. Realmuto OF George Springer OF Lourdes Gurriel Jr. 3B Cavan Biggio 2B Brad Miller,,,
180,2766591030,mullethunter45,0,96,P Robbie Ray P Julio Urías 1B Rhys Hoskins SS Tim Anderson 2B Leury García 3B Cavan Biggio C John Hicks OF Michael Brantley OF Akil Baddoo OF Billy Hamilton,,,
181,2766157666,Epignosis,0,95.75,P Lance McCullers Jr. P Matt Manning 1B Vladimir Guerrero Jr. 2B Marcus Semien SS Bo Bichette C J.T. Realmuto OF George Springer OF Teoscar Hernández 3B Isan Díaz OF Matt Beaty,,,
181,2766331106,Firedog50,0,95.75,P Lance McCullers Jr. P Matt Manning SS Trea Turner OF Juan Soto OF Bryce Harper C J.T. Realmuto OF Teoscar Hernández 1B Josh Bell 2B Alcides Escobar 3B Josh Harrison,,,
181,2766488678,illready,0,95.75,P Lance McCullers Jr. P Matt Manning OF Juan Soto OF Bryce Harper 1B José Abreu C J.T. Realmuto 3B DJ LeMahieu SS Didi Gregorius 2B Jean Segura OF Andrew McCutchen,,,
184,2765862599,luka0077,0,95.7,P Lance McCullers Jr. P Dylan Cease 3B Rafael Devers OF Bryce Harper C J.T. Realmuto SS Didi Gregorius 2B Jean Segura OF Andrew McCutchen OF Hunter Renfroe 1B Danny Santana,,,
184,2766158054,Ponta01,0,95.7,P Lance McCullers Jr. P Dylan Cease 1B Vladimir Guerrero Jr. SS Javier Báez OF Cody Bellinger 3B Wilmer Flores 2B Donovan Solano C Curt Casali OF Rafael Ortega OF Matt Beaty,,,
184,2766314119,twamdoe,0,95.7,P Lance McCullers Jr. P Dylan Cease 1B Vladimir Guerrero Jr. SS Bo Bichette OF George Springer OF Teoscar Hernández 3B Cavan Biggio C Christian Vázquez OF Danny Santana 2B Michael Chavis,,,
187,2766396909,s7ubs,0,95.5,P Robbie Ray P Dylan Cease 1B Vladimir Guerrero Jr. 2B Jose Altuve SS Bo Bichette OF Michael Brantley OF Akil Baddoo OF Andrew McCutchen C Martín Maldonado 3B Josh Harrison,,,
187,2766403004,GarrettOConnor,0,95.5,P Lance McCullers Jr. P Robbie Ray 1B Vladimir Guerrero Jr. SS Bo Bichette OF George Springer OF Teoscar Hernández C Danny Jansen 2B Brad Miller 3B Jake Burger OF Estevan Florial,,,
187,2766447396,williams08,0,95.5,P Lance McCullers Jr. P Robbie Ray 1B Vladimir Guerrero Jr. OF George Springer OF Kyle Tucker SS Gleyber Torres OF Michael Brantley 2B Alcides Escobar C Danny Jansen 3B Jake Burger,,,
187,2766537813,12We348675,0,95.5,P Lance McCullers Jr. P Robbie Ray SS Tim Anderson 1B José Abreu 3B Yoán Moncada OF Max Kepler 2B Alcides Escobar OF Adam Engel OF Andrew Vaughn C Tres Barrera,,,
187,2766576158,jumpman2319,0,95.5,P Lance McCullers Jr. P Robbie Ray 1B Vladimir Guerrero Jr. OF George Springer OF Teoscar Hernández SS Didi Gregorius OF Andrew McCutchen C Danny Jansen 3B Isan Díaz 2B Eli White,,,
192,2766460078,go_Dallas_go,0,95.4,P Adam Wainwright P Dylan Cease OF Juan Soto OF Yordan Alvarez 1B José Abreu OF Starling Marte 2B Kiké Hernández SS Gleyber Torres 3B Ronald Torreyes C Tres Barrera,,,
193,2766474293,kmac.1919,0,95.35,P Lance McCullers Jr. P Erick Fedde SS Trea Turner OF Juan Soto 2B Jose Altuve OF Tyler O'Neill OF Ian Happ C John Hicks 3B Josh Harrison 1B Matt Beaty,,,
194,2765966495,bstone2,0,94.8,P Adam Wainwright P Michael Pineda OF Juan Soto 2B Jose Altuve SS Carlos Correa 3B Jeimer Candelario 1B Yuli Gurriel OF Michael Brantley OF Akil Baddoo C Grayson Greiner,,,
194,2766541800,rbj1257,0,94.8,P Julio Urías P Kyle Hendricks OF Nelson Cruz 3B Patrick Wisdom OF Max Kepler 1B Anthony Rizzo SS Didi Gregorius 2B Jean Segura C Ryan Jeffers OF Andrew McCutchen,,,
196,2766614083,buckeye1,0,94.7,P Lance McCullers Jr. P Dylan Cease OF Bryce Harper SS Tim Anderson 1B José Abreu 2B Kiké Hernández OF Michael Brantley OF Andrew McCutchen C Zack Collins 3B Josh Harrison,,,
197,2766500353,AngNazgul,0,94.5,P Logan Webb P Dylan Cease OF Yordan Alvarez 2B Jose Altuve C Gary Sánchez 1B Yuli Gurriel SS Gleyber Torres OF Akil Baddoo OF Brett Gardner 3B Isan Díaz,,,
198,2766410018,wideout83,0,94.450005,P Robbie Ray 1B Vladimir Guerrero Jr. 2B Marcus Semien OF Juan Soto SS Bo Bichette OF Teoscar Hernández 3B Wilmer Flores C Danny Jansen OF Andrew Vaughn P Asher Wojciechowski,,,
199,2765869981,Orochi,0,94.4,P Lance McCullers Jr. P Jordan Lyles 1B Vladimir Guerrero Jr. 2B Marcus Semien SS Bo Bichette OF George Springer OF Kiké Hernández C Yadier Molina 3B Isan Díaz OF Danny Santana,,,
199,2766268483,goldenmama77,0,94.4,P Lance McCullers Jr. P Jordan Lyles 1B Vladimir Guerrero Jr. 2B Marcus Semien SS Bo Bichette OF George Springer OF Kiké Hernández C Yadier Molina 3B Isan Díaz OF Danny Santana,,,
199,2766307511,sboynton10,0,94.4,P Lance McCullers Jr. P Adam Wainwright 2B Jose Altuve 1B José Abreu SS Carlos Correa OF Kyle Tucker OF Michael Brantley OF Akil Baddoo C Martín Maldonado 3B Jake Burger,,,
199,2766387504,Gierczy7,0,94.4,P Lance McCullers Jr. P Adam Wainwright 1B Rhys Hoskins OF Mike Yastrzemski OF Kyle Tucker SS Didi Gregorius 3B Cavan Biggio 2B Jean Segura OF Andrew McCutchen C Zack Collins,,,
199,2766584548,crazyivan24,0,94.4,P Lance McCullers Jr. P Jordan Lyles 1B Vladimir Guerrero Jr. 2B Marcus Semien SS Bo Bichette OF George Springer OF Kiké Hernández C Yadier Molina 3B Isan Díaz OF Danny Santana,,,
204,2766591149,Pauljb1,0,94.3,P Lance McCullers Jr. P Kyle Hendricks SS Tim Anderson 3B DJ LeMahieu C Gary Sánchez 1B Albert Pujols 2B Rougned Odor OF Michael Brantley OF Akil Baddoo OF David Dahl,,,
205,2766619891,Kennyw1732,0,94.2,P Robbie Ray P Adam Wainwright C J.T. Realmuto 3B DJ LeMahieu 1B Yuli Gurriel SS Gleyber Torres 2B Jean Segura OF Michael Brantley OF Akil Baddoo OF Andrew McCutchen,,,
206,2766245902,astads23,0,93.75,P Lance McCullers Jr. P Matt Manning 1B Vladimir Guerrero Jr. 2B Marcus Semien SS Bo Bichette OF George Springer 3B Yoán Moncada OF Kyle Tucker OF Michael Brantley C Tres Barrera,,,
