Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
22,2766610260,tytybayer,0,120.1,P Adam Wainwright P Jordan Lyles 1B Vladimir Guerrero Jr. OF Bryce Harper 2B Jose Altuve SS Bo Bichette OF George Springer OF Andrew McCutchen 3B Josh Harrison C Tres Barrera,,Teoscar Hernández,OF,13.83%,17
24,2766510217,mavrik6674,0,119.75,P Lance McCullers Jr. P Matt Manning SS Trea Turner OF Juan Soto 1B José Abreu OF George Springer 3B Yoán Moncada OF Max Kepler 2B Jean Segura C Danny Jansen,,Tim Anderson,SS,13.83%,20
25,2766571722,D0MD0M,0,119.5,P Lance McCullers Jr. P Logan Webb 1B Vladimir Guerrero Jr. OF Bryce Harper 3B DJ LeMahieu 2B Rougned Odor C John Hicks SS Tyler Wade OF Greg Allen OF Estevan Florial,,Brad Miller,2B,13.48%,4
26,2766586385,Bald_Birdman_21,0,118.75,P Lance McCullers Jr. P Matt Manning 1B Vladimir Guerrero Jr. 2B Jose Altuve SS Carlos Correa 3B Yoán Moncada C Gary Sánchez OF Adolis García OF Kyle Tucker OF Dylan Carlson,,Cavan Biggio,3B,13.48%,0
27,2766166856,bshadoan,0,117.4,P Erick Fedde P Matt Manning SS Tim Anderson 1B Paul Goldschmidt C J.T. Realmuto OF Giancarlo Stanton 2B DJ LeMahieu OF J.D. Martinez 3B Jeimer Candelario OF Tommy Edman,,Yordan Alvarez,OF,12.59%,0
28,2766405118,mktall40,0,116.4,P Lance McCullers Jr. P Adam Wainwright 1B Rhys Hoskins SS Tim Anderson 3B Yoán Moncada OF Mike Yastrzemski 2B Jean Segura C Yadier Molina OF Derek Hill OF Billy Hamilton,,Julio Urías,P,12.41%,21.35
28,2766592250,darkkent86,0,116.4,P Lance McCullers Jr. P Adam Wainwright SS Tim Anderson 2B Jose Altuve 1B José Abreu 3B Yoán Moncada OF Kyle Tucker OF Andrew Vaughn C Tres Barrera OF Myles Straw,,Kiké Hernández,2B,11.70%,23
30,2766531564,genius2982,0,116.35,P Lance McCullers Jr. P Erick Fedde 2B Jose Altuve 3B Jeimer Candelario 1B Yuli Gurriel OF Kyle Tucker C John Hicks SS Gleyber Torres OF Michael Brantley OF Akil Baddoo,,Josh Bell,1B,11.17%,0
31,2766407072,drinknallday,0,115.7,P Lance McCullers Jr. P Dylan Cease 1B Vladimir Guerrero Jr. SS Tim Anderson OF George Springer OF Kyle Tucker OF Michael Brantley 2B Harold Castro C Martín Maldonado 3B Josh Harrison,,Marcus Semien,2B,10.99%,0
32,2766565658,cabinfeverca,0,115.55,P Robbie Ray P Matt Manning 1B Vladimir Guerrero Jr. OF Bryce Harper C J.T. Realmuto OF George Springer OF Teoscar Hernández SS Didi Gregorius 3B Cavan Biggio 2B Jean Segura,,José Abreu,1B,10.82%,3
33,2766535300,kraner61,0,115.45,P Jordan Lyles P Matt Manning 1B Vladimir Guerrero Jr. 2B Marcus Semien OF Bryce Harper SS Tim Anderson C J.T. Realmuto OF George Springer 3B Yoán Moncada OF Brad Miller,,Adam Engel,OF,9.22%,5
34,2766158570,twdk,0,115.4,P Lance McCullers Jr. P Adam Wainwright OF Juan Soto SS Xander Bogaerts OF J.D. Martinez 2B Kiké Hernández C John Hicks OF Hunter Renfroe 3B Josh Harrison 1B Danny Santana,,Danny Jansen,C,9.22%,5
35,2766172502,mythicalrhymer01,0,115.35,P Lance McCullers Jr. P Erick Fedde 3B Rafael Devers OF Bryce Harper SS Xander Bogaerts OF Robbie Grossman 2B Kiké Hernández OF Akil Baddoo C Christian Vázquez 1B Danny Santana,,Gary Sánchez,C,9.04%,5
36,2766553956,Jshafer4488,0,114.75,P Lance McCullers Jr. P Matt Manning 1B Vladimir Guerrero Jr. 2B Jose Altuve OF George Springer SS Carlos Correa OF Randal Grichuk OF Teoscar Hernández 3B Cavan Biggio C Christian Vázquez,,Jake Burger,3B,8.87%,0
37,2766088821,gennatr12,0,114.4,P Lance McCullers Jr. P Adam Wainwright OF Bryce Harper SS Xander Bogaerts OF J.D. Martinez C Gary Sánchez 2B Kiké Hernández OF Hunter Renfroe 3B Josh Harrison 1B Danny Santana,,John Hicks,C,8.69%,7
38,2766337577,tclark828,0,114.2,P Julio Urías P Dylan Cease 1B Vladimir Guerrero Jr. 2B Marcus Semien OF George Springer OF Teoscar Hernández OF Kyle Tucker SS Ronald Torreyes 3B Josh Harrison C Tres Barrera,,Carlos Correa,SS,8.51%,0
39,2766096620,zb5150,0,113.9,P Julio Urías P Adam Wainwright 1B Vladimir Guerrero Jr. OF Joey Gallo OF George Springer OF Teoscar Hernández C John Hicks SS Ronald Torreyes 2B Eli White 3B Jake Burger,,Jonathan Schoop,1B,7.80%,3
